shipment_id,origin_port,destination_port,carrier,ship_date,base_transit_days,actual_transit_days,port_congestion_score,weather_condition,customs_complexity,cargo_weight_tons,num_stops,is_peak_season,carrier_on_time_rate,days_since_maintenance,fuel_cost_index,is_delayed
SHP00001,Rotterdam,New York,MaerskLine,2022-05-23,10,10,0.3537,Rainy,1,26.55,1,1,0.8503,149,0.7338,0
SHP00002,Rotterdam,New York,HapagLloyd,2022-02-02,10,10,0.3084,Clear,3,15.63,1,0,0.7651,107,1.0085,0
SHP00003,Shanghai,Los Angeles,MaerskLine,2023-09-09,14,14,0.3345,Cloudy,3,11.02,1,1,0.8112,110,1.11,0
SHP00004,Shanghai,Los Angeles,HapagLloyd,2023-12-20,14,14,0.1827,Cloudy,2,5.06,1,0,0.7594,145,1.1651,0
SHP00005,Guangzhou,Sydney,MSC,2022-01-07,15,15,0.2231,Storm,1,17.89,0,0,0.711,81,1.0238,0
SHP00006,Singapore,Hamburg,EverGreen,2022-08-09,18,18,0.2416,Rainy,1,19.23,0,1,0.6317,135,0.7033,0
SHP00007,Hong Kong,London,MaerskLine,2023-01-03,20,20,0.3264,Clear,1,4.45,0,0,0.853,150,1.1013,0
SHP00008,Hong Kong,London,HapagLloyd,2023-04-16,20,20,0.0533,Rainy,3,32.07,0,0,0.7921,141,0.9963,0
SHP00009,Rotterdam,New York,EverGreen,2023-10-06,10,10,0.2096,Clear,2,22.02,2,0,0.5804,150,1.0627,0
SHP00010,Hong Kong,London,HapagLloyd,2022-02-16,20,20,0.4161,Cloudy,1,18.08,0,0,0.7413,83,1.2355,0
SHP00011,Dubai,Mumbai,COSCO,2022-04-14,5,5,0.1863,Clear,2,1.41,0,0,0.5804,50,0.8616,0
SHP00012,Guangzhou,Sydney,COSCO,2023-01-09,15,16,0.2399,Storm,1,8.62,1,0,0.5453,130,0.8805,1
SHP00013,Singapore,Hamburg,COSCO,2022-10-01,18,19,0.1246,Rainy,3,11.31,0,1,0.5574,159,1.0317,1
